Working before GA: 0.0; Working with GA: 0.017956972122192383; S array length: 15; Mutation percent: 8
Working before GA: 0.0; Working with GA: 0.007977724075317383; S array length: 15; Mutation percent: 8
Working before GA: 0.0; Working with GA: 0.0029642581939697266; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.005955696105957031; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.0029916763305664062; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.002991199493408203; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.006976604461669922; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.012991666793823242; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.006009817123413086; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.006012916564941406; S array length: 15; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.018941879272460938; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.00698089599609375; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.017951011657714844; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.020943880081176758; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.01792454719543457; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.008957386016845703; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.01994609832763672; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.011995553970336914; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.005983829498291016; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.009003639221191406; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.019974231719970703; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.001995086669921875; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.025928974151611328; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.01994633674621582; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.022895336151123047; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.012964725494384766; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.002992868423461914; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.020943880081176758; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.001994609832763672; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.021968364715576172; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.02194046974182129; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.021969318389892578; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.027885913848876953; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.013965129852294922; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.021941423416137695; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.007950782775878906; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.027924537658691406; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.022937536239624023; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.011993885040283203; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.01693105697631836; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.014959335327148438; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.001958608627319336; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.009947776794433594; S array length: 45; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.023962736129760742; S array length: 35; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.021942138671875; S array length: 25; Mutation percent: 8 
Working before GA: 0.0; Working with GA: 0.0019936561584472656; S array length: 15; Mutation percent: 8 
